,userid,user_display_name,user_screen_name,user_reported_location,user_profile_description,user_profile_url,follower_count,following_count,account_creation_date,account_language,month_year_creation
40,LnmiozabRzAzrUl2OgpMWqp+VMsE5VWPjcpRTHMNfA=,LnmiozabRzAzrUl2OgpMWqp+VMsE5VWPjcpRTHMNfA=,LnmiozabRzAzrUl2OgpMWqp+VMsE5VWPjcpRTHMNfA=,,You are currently browsing the Twitter to discover the person you are about to contact,,207,279,2020-01-11,en,January 2020
41,5kDfXomivKfa29xdPqVcwhwaUMWPX0KV2Kc0cS6Vuo=,5kDfXomivKfa29xdPqVcwhwaUMWPX0KV2Kc0cS6Vuo=,5kDfXomivKfa29xdPqVcwhwaUMWPX0KV2Kc0cS6Vuo=,United Kingdom,"Labour Councillor for Bristol Central Ward and Cabinet Member for Housing, European, stardust",,205,265,2020-01-08,en,January 2020
42,wrkUqeEGRt7v9Dk7hG7NjKk0NYzBT8txZrjamkQWwBw=,wrkUqeEGRt7v9Dk7hG7NjKk0NYzBT8txZrjamkQWwBw=,wrkUqeEGRt7v9Dk7hG7NjKk0NYzBT8txZrjamkQWwBw=,,unprofessional hype woman,,194,286,2020-01-11,en,January 2020
43,1IYVaFoFbmGgFHA4droJRaHZD1Tzs6Co8URvVPhkYuA=,1IYVaFoFbmGgFHA4droJRaHZD1Tzs6Co8URvVPhkYuA=,1IYVaFoFbmGgFHA4droJRaHZD1Tzs6Co8URvVPhkYuA=,London,"Journalist, broadcaster & moderator. Reporting for Skye international broadcaster @ITVnews (@ITN) plus @BBCworld & @AJEnglish
.",,196,258,2020-01-25,en,January 2020
44,aZ+oVru6CcNWkatB5kO9B8WwcOAKy60MZEuiuNoU=,aZ+oVru6CcNWkatB5kO9B8WwcOAKy60MZEuiuNoU=,aZ+oVru6CcNWkatB5kO9B8WwcOAKy60MZEuiuNoU=,United Kingdom,"Husband, dad, law monkey, cricket nut, general geek",,211,265,2020-01-11,en,January 2020
45,voKLsBNz+FCaR37bGKBN7NhEcQA8TlCgw7tiOwBXM8=,voKLsBNz+FCaR37bGKBN7NhEcQA8TlCgw7tiOwBXM8=,voKLsBNz+FCaR37bGKBN7NhEcQA8TlCgw7tiOwBXM8=,United Kingdom,Booooooooooom Mara PB 3:39 sought and destroyed,,201,249,2020-01-08,en,January 2020
46,CH8ljNwytxIQAm7r8kH1J9+ykPUzrqe2L5uKhiA2cg=,CH8ljNwytxIQAm7r8kH1J9+ykPUzrqe2L5uKhiA2cg=,CH8ljNwytxIQAm7r8kH1J9+ykPUzrqe2L5uKhiA2cg=,London,"I write columns for the Sunday Times and books for Penguin. Darling, a 21st century homage to The Pursuit of Love, out 2020.",,352,559,2020-01-25,en,January 2020
47,geUy7n6Z0f49Q8Jg8k3DQFV674mMfNLzq9IsLwRWHDg=,geUy7n6Z0f49Q8Jg8k3DQFV674mMfNLzq9IsLwRWHDg=,geUy7n6Z0f49Q8Jg8k3DQFV674mMfNLzq9IsLwRWHDg=,London,Journalist & author. Travel's in the blood. Instagram,,184,259,2020-01-25,en,January 2020
48,h8ghAUHvkoUc90oUwvHFilamz5U5Gbd38gePrSGcg8I=,h8ghAUHvkoUc90oUwvHFilamz5U5Gbd38gePrSGcg8I=,h8ghAUHvkoUc90oUwvHFilamz5U5Gbd38gePrSGcg8I=,,"Rehabilitation, pre-training and breaking in yard with an equine water treadmill.",,194,230,2020-01-11,en,January 2020
49,hIleLPZJ4CFEi6ndCpWKLzgenSJloYYTKK5WH70wh2I=,hIleLPZJ4CFEi6ndCpWKLzgenSJloYYTKK5WH70wh2I=,hIleLPZJ4CFEi6ndCpWKLzgenSJloYYTKK5WH70wh2I=,,Mainly tweeting about UK and US politics with occasional tweets about literature. Liberal leaning democrat - Liberation feminist - Secular humanist.,,200,272,2020-01-11,en,January 2020
50,MFDBJcyJquoieJh8D8TDxGaqfXMwJRMJu9dsNoGU73Y=,MFDBJcyJquoieJh8D8TDxGaqfXMwJRMJu9dsNoGU73Y=,MFDBJcyJquoieJh8D8TDxGaqfXMwJRMJu9dsNoGU73Y=,,Advaita Vedānta | Avid Reader | Writer | Value investor | Stock Trader |,,205,294,2020-01-11,en,January 2020
51,rtk57t9x36NnOaRCdsSGmApVTz+lMUSGaLNpGXiS3c=,rtk57t9x36NnOaRCdsSGmApVTz+lMUSGaLNpGXiS3c=,rtk57t9x36NnOaRCdsSGmApVTz+lMUSGaLNpGXiS3c=,London ,"Editor, Evening Standard. Columnist. Broadcaster. Author. Stand up. After dinner speaker. Feminist. Former Labour adviser. Busy.",,184,253,2020-01-25,en,January 2020
52,hCb9pLfnQ0rbYaG53jAAUbaWzLufQnKTJzD6AGTF9s=,hCb9pLfnQ0rbYaG53jAAUbaWzLufQnKTJzD6AGTF9s=,hCb9pLfnQ0rbYaG53jAAUbaWzLufQnKTJzD6AGTF9s=,United Kingdom,"Primary school teacher. Into books, boxing, and teaching kids to love reading. Education is liberation!",,193,252,2020-01-08,en,January 2020
53,uPJkYcaCU4NMKWv8qX3KVEge0TECkH5PBdoa6Pu45g=,uPJkYcaCU4NMKWv8qX3KVEge0TECkH5PBdoa6Pu45g=,uPJkYcaCU4NMKWv8qX3KVEge0TECkH5PBdoa6Pu45g=,UK,"Small business supporter and adviser, marketer, connector, mum, wife and #Tootinglitterpick-er.",,200,247,2020-01-11,en,January 2020
54,ysFbGLVYnlk4pWKliHempu605uOl0OngP8nSlgU8=,ysFbGLVYnlk4pWKliHempu605uOl0OngP8nSlgU8=,ysFbGLVYnlk4pWKliHempu605uOl0OngP8nSlgU8=,United Kingdom,"A thoroughbred stud farm situated on the Curragh, Co. Kildare, home of Platinum Bloodstock. Captain Gerrard, Ramone and Xenobia.",,207,331,2020-01-11,en,January 2020
55,CPXMhMIMJBsJo7drr5a1yFSw4rBDukOY3QIcPPpAelo=,CPXMhMIMJBsJo7drr5a1yFSw4rBDukOY3QIcPPpAelo=,CPXMhMIMJBsJo7drr5a1yFSw4rBDukOY3QIcPPpAelo=,London,News Editor . 📝 Commissioning original stories. 🐕 Dog walker 🏃‍♂️ Marathon runner. Views my own.,,188,182,2020-01-25,en,January 2020
56,QJqcs7fwtIxk+jK+NSpL3N5h5KRQ1fUD3VZ4HuvO8=,QJqcs7fwtIxk+jK+NSpL3N5h5KRQ1fUD3VZ4HuvO8=,QJqcs7fwtIxk+jK+NSpL3N5h5KRQ1fUD3VZ4HuvO8=,,"Hello Everyone, I am Nuralom Talukdar as Amazon or eCommerce image optimization supper expert.
 I am working in this sector list for Seven years.",,114,153,2020-01-11,en,January 2020
57,z98JZpdrShEQ1skBLKgK+LSMHDc+7ddgYmOcY6x4=,z98JZpdrShEQ1skBLKgK+LSMHDc+7ddgYmOcY6x4=,z98JZpdrShEQ1skBLKgK+LSMHDc+7ddgYmOcY6x4=,London,Sky News founder member. Journalist. Animal lover. Proud mum. Mountain climber. More live TV than anyone else.,,189,254,2020-01-25,en,January 2020
58,zBBu+cI1G+JVgrbK3riyLmD4rSaM0ttvSyYgMP8SlDM=,zBBu+cI1G+JVgrbK3riyLmD4rSaM0ttvSyYgMP8SlDM=,zBBu+cI1G+JVgrbK3riyLmD4rSaM0ttvSyYgMP8SlDM=,UK,"Mother & stepmother, girlfriend, cushionista, TV presenter, ambassador for Home Start UK & Keep Britain Tidy - if you think I didn't do it you're probably right",,181,221,2020-01-25,en,January 2020
59,Q08x0uvCSoQLO1+p5isQBf0vGFSAO6rqt3KlRwSxuNk=,Q08x0uvCSoQLO1+p5isQBf0vGFSAO6rqt3KlRwSxuNk=,Q08x0uvCSoQLO1+p5isQBf0vGFSAO6rqt3KlRwSxuNk=,London,"Editor, Live Political Programmes. The Andrew Marr Show, The Andrew Neil Show, Politics Live, Brexitcast (TV), Westminster Hour & Newswatch.",,186,248,2020-01-25,en,January 2020
60,PPmXoDvaMUeL1+cFVsRiyzUFy9hTxGMWjjQ0qt5vSg=,PPmXoDvaMUeL1+cFVsRiyzUFy9hTxGMWjjQ0qt5vSg=,PPmXoDvaMUeL1+cFVsRiyzUFy9hTxGMWjjQ0qt5vSg=,United Kingdom,"Senior executive recruiter, Inspirational business leader,  Passionate about life, families, education, technology &more!",,199,266,2020-01-08,en,January 2020
